hhnum,0.25 mi,0.50 mi,1.0 mi,2.0 mi,5.0 mi,10.0 mi,15.0 mi,30.0 mi,0.25 mi_ff,0.50 mi_ff,1.0 mi_ff,2.0 mi_ff,5.0 mi_ff,10.0 mi_ff,15.0 mi_ff,30.0 mi_ff,nearsnap_dist,nearsnap_stype,nearff_dist,inchhavg_r
100012,0,4,9,16,19,22,37,188,0,1,10,11,12,12,14,77,0.33,SM,0.3,4667.33
100015,1,6,18,43,52,80,118,512,1,1,2,15,16,22,28,39,0.19,ME,0.21,1200.0
100024,0,0,2,10,67,275,327,382,0,0,7,18,30,69,75,95,0.9,BB,0.85,5024.5
100026,0,0,0,2,3,20,69,408,0,0,0,0,0,0,21,49,1.72,LG,10.93,1800.0
100028,0,1,12,40,64,90,125,294,0,0,4,12,37,44,52,53,0.41,CS,0.86,3998.0
100031,1,10,25,93,506,786,909,1067,2,6,8,15,144,279,320,345,0.12,CS,0.17,7820.65184448042
100040,0,3,8,48,120,287,585,1623,0,0,0,19,69,151,196,196,0.33,CS,1.03,1500.0
100049,2,2,7,17,85,96,99,108,4,8,9,17,71,89,89,90,0.17,CS,0.06,3263.338
100053,0,0,7,20,63,153,212,405,0,0,7,15,52,122,155,212,0.65,CO,0.64,3033.33
100054,0,2,7,29,90,217,554,2427,0,4,12,47,158,339,649,1057,0.4,SM,0.32,15000.0
100055,0,0,0,0,5,23,53,371,0,0,0,0,0,8,15,28,2.51,CO,9.01,2000.0
100059,1,1,10,57,324,779,1306,5117,1,1,11,53,237,369,520,1168,0.16,CS,0.23,5995.0
100060,0,5,7,30,136,194,221,493,0,2,7,30,91,119,122,137,0.33,CO,0.29,1377.0
100061,2,2,9,23,118,153,160,217,0,0,18,25,97,122,125,131,0.23,CS,0.55,3025.4
100067,0,0,2,7,54,90,102,169,0,0,1,6,29,56,56,56,0.94,CS,0.97,8952.67
100069,0,0,5,21,159,281,311,438,0,0,0,7,103,185,210,221,0.62,CS,1.51,2822.0
100073,0,0,0,0,1,3,19,148,0,0,0,0,0,0,5,30,4.03,CS,10.84,1935.0
100074,1,7,24,46,67,90,127,281,0,2,3,18,39,45,52,53,0.08,CO,0.36,6253.0
100076,0,0,6,32,92,96,99,108,0,0,2,31,88,89,89,90,0.6,CO,0.53,4580.0
100083,0,0,0,0,38,159,254,1130,0,0,0,0,19,99,130,130,2.13,CS,3.12,1523.0
100088,0,3,11,29,88,96,99,107,0,4,18,29,87,89,89,90,0.43,CS,0.45,3600.0
100093,1,1,12,57,350,778,1329,5131,1,1,10,45,248,370,528,1168,0.14,CS,0.13,4200.0
100095,0,3,6,10,83,629,1645,4246,0,0,2,8,79,257,436,552,0.26,CO,0.8,1534.0
100104,0,2,6,33,233,618,1102,4595,0,4,12,69,264,685,1009,1057,0.29,CS,0.29,12320.0
100106,0,0,2,8,19,63,274,660,0,0,7,8,12,21,45,63,0.85,CO,0.87,2613.0
100107,0,3,16,41,64,89,125,292,0,0,4,13,37,45,52,53,0.28,CS,0.74,1192.64367307287
100110,0,0,0,1,12,18,51,293,0,0,0,0,3,3,3,52,1.94,CS,2.35,2639.98988940414
100114,1,2,8,35,62,90,123,275,1,4,7,12,33,44,51,53,0.24,CS,0.24,7900.0
100128,0,0,0,7,16,18,45,206,0,0,0,3,10,10,10,22,1.34,CS,1.62,2546.0
