hhnum,inchhavg_r
100012,4667.33
100015,1200.0
100024,5024.5
100026,1800.0
100028,3998.0
100031,7820.65184448042
100040,1500.0
100049,3263.338
100053,3033.33
100054,15000.0
100055,2000.0
100059,5995.0
100060,1377.0
100061,3025.4
100067,8952.67
100069,2822.0
100073,1935.0
100074,6253.0
100076,4580.0
100083,1523.0
100088,3600.0
100093,4200.0
100095,1534.0
100104,12320.0
100106,2613.0
100107,1192.64367307287
100110,2639.98988940414
100114,7900.0
100128,2546.0
100132,855.4
100135,615.77409997
100138,6976.60057670997
100140,21805.45279398
100146,1260.0
100148,3282.13726894144
100150,1716.33
100151,4223.0
100155,10080.0
100158,11970.0
100159,212.786485140315
100162,1120.0
100163,3640.0
100167,2680.0
100174,1574.0
100183,877.5
100186,5680.0
100188,2300.0
100192,2673.338
100194,6325.0
100197,10333.33
100203,1550.0
100207,2800.0
100209,1260.0
100210,6500.0
100214,2630.0
100220,1680.0
100223,3000.0
100225,1973.67
100228,13797.0
100229,5320.0
100231,4460.0
100238,7850.91170796
100240,3515.54733950763
100244,4900.0
100246,3500.0
100255,4780.0
100262,3220.54100832762
100267,3050.0
100268,8053.338
100272,0.0
100273,3500.0
100274,2350.0
100276,3008.55
100283,2897.0
100284,801.0
100286,1341.60910245009
100287,3563.41515422938
100292,8079.99999999999
100295,15120.0
100296,628.0
100297,3277.52382672513
100304,10000.0
100305,1316.0
100317,5000.0
100319,7302.78672664203
100322,2000.0
100323,1012.0
100324,568.0
100325,1000.0
100330,2467.0
100337,3360.0
100339,1396.0
100341,1236.2
100350,1190.0
100360,2829.00724793609
100361,7677.99381396955
100363,6545.0
100368,843.0
100369,3946.0
100373,3033.338
100380,1411.0
100381,7700.0
100384,2088.0
100389,3360.0
100391,2500.0
100406,801.0
100408,25650.0
100409,3128.23103427601
100419,1864.73891942691
100426,0.0
100436,4190.0
100438,1800.0
100442,5459.0
100444,2962.01973904075
100446,2183.21365111128
100447,8070.03037
100449,2333.338
100456,560.0
100457,4400.0
100458,1600.0
100459,3936.97708279647
100460,2267.52595331973
100461,910.0
100464,700.0
100476,1901.49885990545
100485,2121.93030058063
100486,8333.25
100487,4423.338
100489,490.0
100490,8032.11772025461
100493,15348.0394262297
100494,3173.33
100499,4610.56795202
100501,605.0
100502,4470.34
100504,4722.0
100506,1760.0
100509,7000.0
100513,5044.0
100514,1406.0
100520,828.0
100525,8399.99999999999
100529,1970.1
100533,4271.0
100534,1100.0
100536,3017.82827844
100539,1522.738
100545,1455.9
100554,1021.0
100557,4900.0
100558,4377.1
100562,2353.67
100563,4355.93661424353
100568,2537.47085155144
100572,4340.0
100575,1677.0
100580,3160.738
100584,3000.0
100588,9500.0
100594,1341.0
100595,2149.0
100607,680.0
100622,2040.0
100623,11040.0
100630,200.0
100633,6680.0
100636,902.0
100641,1484.25384137947
100649,1015.0
100656,4695.0
100661,6960.0
100662,4000.0
100663,11340.0
100664,7560.0
100666,1950.0
100668,1080.0
100671,453.0
100681,2166.67
100686,1540.0
100689,20226.09
100690,1250.0
100692,1083.42641497452
100693,2320.0
100697,6574.47869683669
100700,1820.0
100705,2710.0
100714,225.0
100719,3120.0
100720,2800.0
100722,2780.0
100724,1323.0
100726,3240.0
100741,6413.338
100742,2049.67
100753,22000.0
100761,3729.0
100768,1726.83
100781,3436.0
100783,2209.0
100784,3890.6
100785,1239.0
100792,4900.0
100796,8666.66999999999
100798,4779.67
100799,11578.67
100804,1100.0
100805,1524.0
100808,2380.0
100810,6400.33
100813,5325.65956074
100816,0.0
100822,480.0
100827,0.0
100831,5388.0
100832,2897.0
100835,9099.99999999999
100840,2260.13981603967
100841,2390.82392842589
100843,6800.0
100845,91.1622659521773
100857,4200.0
100870,2788.84515599969
100875,3164.0
100885,1900.0
100888,7835.0
100889,2638.6224483892
100900,3910.0
100901,1815.33
100903,1402.0
100905,2740.65686602
100908,700.0
100917,2760.38639816029
100920,4200.0
100925,4480.0
100927,55.0
100928,25650.0
100929,2016.0
100933,1950.0
100934,4024.0
100939,929.0
100948,3229.0
100953,698.0
100958,4800.0
100974,166.216755653959
100981,0.0
100984,853.0
100985,7420.85351813397
100992,2050.17
101000,1478.1634661009
101011,2574.55
101013,1700.0
101014,854.0
101018,13150.0
101019,840.0
101020,11178.2795542263
101024,583.416409808
101031,2261.0
101036,2182.0
101046,4593.332
101050,0.0
101056,800.0
101057,1120.0
101061,7266.0
101062,2162.062
101063,1300.0
101078,2480.83584579567
101081,766.477502732779
101083,2240.0
101088,430.197710306106
101090,1951.4007182006
101094,3578.17
101095,1680.0
101104,2503.2
101105,1600.0
101109,6966.97293732027
101112,1562.162
101113,2800.0
101115,250.638512029
101125,2089.67342649297
101129,1680.0
101130,3500.0
101134,2000.0
101137,1540.0
101141,2639.0
101148,1502.9
101151,1805.0
101152,0.0
101154,5500.0
101175,3778.0
101176,2371.662
101180,3943.338
101187,3055.3094959363
101193,698.0
101195,878.0
101196,2800.0
101203,3412.262
101204,5450.0
101210,1822.0
101218,2620.0
101219,112.0
101223,769.503458251709
101227,7586.67
101228,2516.662
101236,5339.0
101242,1820.0
101244,6546.324
101253,4000.0
101254,1988.0
101261,1980.04848555319
101267,1960.0
101268,9839.99999999999
101269,1931.02888320014
101271,430.0
101291,6020.0
101292,4000.0
101301,9800.0
101306,1700.0
101308,3706.0
101310,7140.0
101316,11900.0
101321,3360.0
